customer_id,customer_code,customer_name,email,phone,gender,age_group,city,state,city_tier,is_registered,loyalty_member,avg_monthly_spend_inr,visit_frequency_per_month,registration_date,created_at,updated_at
1,CUST00001,Ira Das,NULL,NULL,F,36-45,Chennai,Tamil Nadu,1,1,0,5390.00,3,2026-03-01,2026-05-30 01:02:25,2026-05-30 01:02:25
2,CUST00002,Meera Joshi,NULL,NULL,F,26-35,Nashik,Maharashtra,2,1,1,6710.00,4,2025-02-19,2026-05-30 01:02:25,2026-05-30 01:02:25
3,CUST00003,Saanvi Pillai,NULL,NULL,F,18-25,Pune,Maharashtra,1,1,1,2890.00,8,2026-04-06,2026-05-30 01:02:25,2026-05-30 01:02:25
4,CUST00004,Avni Malhotra,NULL,NULL,F,18-25,Chennai,Tamil Nadu,1,1,1,1820.00,6,2024-01-03,2026-05-30 01:02:25,2026-05-30 01:02:25
5,CUST00005,Radha Agarwal,NULL,NULL,F,26-35,Bengaluru,Karnataka,1,1,0,4390.00,8,2025-10-15,2026-05-30 01:02:25,2026-05-30 01:02:25
6,CUST00006,Vinod Malhotra,NULL,NULL,M,56-65,Mumbai,Maharashtra,1,1,1,5000.00,12,2025-01-14,2026-05-30 01:02:25,2026-05-30 01:02:25
7,CUST00007,Manoj Chatterjee,NULL,NULL,M,26-35,Nagpur,Maharashtra,2,1,0,5240.00,5,2024-02-23,2026-05-30 01:02:25,2026-05-30 01:02:25
8,CUST00008,Ira Jain,NULL,NULL,F,26-35,Bhopal,Madhya Pradesh,2,1,1,6740.00,10,2024-09-07,2026-05-30 01:02:25,2026-05-30 01:02:25
9,CUST00009,Anita Malhotra,NULL,NULL,O,36-45,Mumbai,Maharashtra,1,1,1,9970.00,4,2024-07-30,2026-05-30 01:02:25,2026-05-30 01:02:25
10,CUST00010,Siddharth Gupta,NULL,NULL,M,65+,Kolkata,West Bengal,1,1,1,2560.00,9,2025-03-01,2026-05-30 01:02:25,2026-05-30 01:02:25
11,CUST00011,Ishaan Yadav,NULL,NULL,M,56-65,Pune,Maharashtra,1,1,1,4180.00,4,2025-09-03,2026-05-30 01:02:25,2026-05-30 01:02:25
12,CUST00012,Anjali Banerjee,NULL,NULL,F,56-65,Chennai,Tamil Nadu,1,1,1,5310.00,10,2023-09-21,2026-05-30 01:02:25,2026-05-30 01:02:25
13,CUST00013,Advik Mehta,NULL,NULL,M,18-25,Ahmedabad,Gujarat,1,1,0,1260.00,5,2026-02-18,2026-05-30 01:02:25,2026-05-30 01:02:25
14,CUST00014,Kabir Malhotra,NULL,NULL,M,26-35,Patna,Bihar,2,1,0,3840.00,6,2024-11-14,2026-05-30 01:02:25,2026-05-30 01:02:25
15,CUST00015,Shruti Menon,NULL,NULL,F,26-35,Bengaluru,Karnataka,1,1,1,6150.00,6,2025-01-07,2026-05-30 01:02:25,2026-05-30 01:02:25
16,CUST00016,Pranav Verma,NULL,NULL,M,36-45,Hyderabad,Telangana,1,1,0,6750.00,5,2024-01-29,2026-05-30 01:02:25,2026-05-30 01:02:25
